text,vulgar,hate,religious,threat,troll,Insult
"১ মাস আগে সজনার ডাটা চুষতে যেয়ে শুনি, সজনাতেও নাকি ফর্মালিন দেয়",0,0,0,0,0,0
কি আছে দুনিয়াতে এর থেকে বেশি পাওয়া পছন্দ করা মানুষটাকে নিজের করে পাওয়ার চেয়ে,0,0,0,0,0,0
যদি বদরুল শিবিরের নেতা হয় তাহলে ফাসি দেওয়া হক না হইয় না হয় বন্দুকযুদ্দের নাম করে গুলি করে হত্য করা হক আমাদের আপত্তি নাই,0,1,0,0,1,0
শুধু সুন্দর নয় অনেক সুন্দর অনেক মজার হয়েছে যা কল্পনাতীত,0,0,0,0,0,0
আমাদের জীবনের সাথে সম্পূর্ণ মিল এমনটিই হয় সময়বয়সি সম্পর্কের মধ্যে,0,0,0,0,0,0
"আরেক ফাউন্ডেশন বলছে, আমরা ধাম করে চলে যাব সরকারী হাসপাতালগুলোতে ... সেখানে ইফতারের সময় যে ওয়ার্ড-বয় আর নার্সরা ডিউটি করে, তাদের ইফতার করাব",0,0,0,0,0,0
ঠিক বলেচেন হিরো আলম,0,0,0,0,0,0
এই প্রথম শ্যালাকে মন থেকে বুকে টেনে নিলাম,0,0,0,0,0,0
চাই না কারো জীবনে এমনটা ঘটুকভাল থাক সবাই সবার ভালবাসার মানুষকে নিয়েখুব ভাল লাগলো নাটকটা,0,0,0,0,0,0
গল্পটা দারুণ হয়েছে নিশো মানে আলাদা কিছু,0,0,0,0,0,0
কার ভক্ত বেশি মেহজাবিন অথবা তানজিলা তিশা,0,0,0,0,0,0
ছোটকা কী পারবে শ্রেষ্ঠা কে তুলে নিয়ে গিয়ে মাঝ দরিয়ার নৌকার মধ্যেই বিবাহ সম্পন্ন করতে,0,0,0,0,1,0
চমৎকার বাংলাদেশের প্রতিটি ঘরে ঘরে এরকম সন্তানের প্রয়োজন যাতে অসৎ দুর্নীতিবাজ অভিভাবকদের উচিত শিক্ষা দেয়া যায় ঘরে ঘরে দুর্গ গড়ে তোলো তোমাদের যার যা কিছু আছে তাই নিয়ে এইসব অসৎ দুর্নীতিবাজদের বিরুদ্ধে প্রতিরোধ গড়ে তোলো জয় বাংলাদেশ,0,0,0,0,0,0
আফরান নিশো আর তানজিন তিশা আমার সবথেকে প্রিয় মডেল,0,0,0,0,0,0
রেন্ডিয়ান কুত্তারা কই যাদের টয়লেট বানানোর মরদ নাই তারা আবার ক্রিকেট খেলে,0,0,0,0,1,0
"নাস্তিক,,, ওকে জুতা মারুন।",0,0,1,1,0,0
যে ব্যাক্তি মামুনুল হক ঘরে কে কোন ধরনের কোন খারাপ মক্তব্য করে তাদেরই জন্মের ঠিক নাই। ওবয়ে তাদের কে খুন করে ফেলা উচিৎ,0,0,0,1,0,0
ঠাডা পড়ুক তোর উপর,0,0,0,0,0,1
দয়া করে এইসব অকৃতজ্ঞ মানুষের নিয়ে আর কোনো ভিডিও বানিয়ে নিজের সময় নষ্ট করবেন না,0,1,0,0,0,0
"কি দরকার ছিল এই ভিডিও বানানোর,পেটের দায়ে শরীর বেছে, ভদ্রলোকের বাড়িতে কতো মেয়ে এই কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে",1,0,0,0,0,0
ঐ পরি মনি তোমার কি মরার ভয় নেই.?,0,0,0,1,0,0
"বিকালের দিকে আরেকটা ফোন আসলো, সাতক্ষীরা থেকে",0,0,0,0,0,0
ওকে গুলি কোরে মার,0,0,0,1,0,0
চুদির ভাই বাংলায় লিখতে পারো নাই,1,0,0,0,0,1
খোকা তুমি ফিরে এসো যুদ্ধে যাব আবারস্বাধীন দেশটা দখল নিল ঐ নব্য স্বৈরাচার,0,0,0,0,0,0
"ব্যাপারটা কিছুটা, সামনে যাকেই পাই তাকেই ‘হ্যালো ব্রাদার আমি কিন্তু মানুষ’ বলে প্রমান দেয়ার মতো",0,0,0,0,0,0
কঠিন ধান্দা হলো এবার বেজায় খুশি এনটিআরসিএ কর্তৃপক্ষ ঈদ টা জম্পেস হবে,0,0,0,0,1,0
আমি জানতাম না যে বাংলাদেশের কোন মেয়ে অভিনেত্রী এত সুন্দর কাজ করতে পারেলাভ ইউ মেহজাবীন,0,0,0,0,0,0
মিজানুর রহমান আরিয়ানের আরেকটি মাস্টারপিস এক কথায় অসাধারণ,0,0,0,0,0,0
গল্প শুরু করি; এক মেয়ে একা পড়াশোনা করছে রুমে... হুট করে সে জোরে চিৎকার দিয়ে বলল ‘ক্রকডাইল এসেছে বাঁচাও’,0,0,0,0,0,0
ভারতে পাচার কমেছে তাই দাম কমবে।,0,1,0,0,0,0
অনেক ভালো লাগলো অনেক অপেক্ষায় ছিলাম নাটকটার জন্য,0,0,0,0,0,0
"যখন কেউ বলে অস্ত্রের চাইতে কলম বড়, তখন অস্ত্রধারী বলে, আসেন ভাই টেস্ট কইরা দেখি ",0,0,0,0,1,0
"এটি তুই কি বুঝে শুনে বলেছিস,না মাল পানি খেয়ে বলেছিস । ",0,0,0,0,1,1
এদের মতো মুড সুইং দুনিয়ায় কোনো মেয়েরও হয়নাই,0,0,0,0,1,0
টিনের চালে কাউয়া আরিফ তুমি শাউয়া,1,0,0,0,0,1
আই দেখিয়ে দেব এবার ।মুসলিম দের কে এবার জবাই করবো।জয় শ্ৰী রা,0,0,1,1,0,0
অনেক ভালো একটা নাটোক আমি মুগ্ধ হয়ে গেছি,0,0,0,0,0,0
বাংলাদেশের সন্ত্রাসী ও জঙ্গী সংগঠন ছাত্রলীগ (কুত্তালীগ) কে রাষ্ট্রীয়ভাবে নিষিদ্ধ ঘোষণা করা হউক,0,1,0,0,0,0
সত্যি করে বল ডাইনোসর বিলুপ্ত হয়ে গেছিল নাকি তোরা খেয়ে ফেলেছিলি?,0,0,0,0,1,0
এটাই হবে যদি ভারত পাকিস্তান যুদ্ধ বাধে,0,1,0,0,0,0
"হাতির দুধ দেখে লাভ নাই রে মাদারি, খাইতে গেলে দুধের চিপায় আটকায়ে মইরা যাবি গা ",1,0,0,0,1,0
ভারতীয় হাতি ঢুকলে তার খাতিরদারিতে আমাদের রাতের ঘুম হারাম হয়। কিন্তু রোহিঙ্গারা একটুখানি বাঁচার আশায় সীমান্তে এলে আমরা তাদের লাথি মেরে ফিরিয়ে দেই।,0,1,0,0,0,0
খালিডেলে দেয় অসাধারণ কথা ভাই,0,0,0,0,0,0
নামাজ নিয়ে কথা বলায় পড়ায়অনেক বেশি ভালোলাগছে,0,0,0,0,0,0
"ভন্দু তাই ভদ্র ভাষায় বলছি চুতম্রানি, খান্কির পুথ, আচোদা কন্ডমের রাবার,সোনাকাটা বাইনচোদ ভুষ্মি মাকিরপো তোর পিক না চোদালে হয় না",1,0,0,0,0,1
"পুরাই আজব রে মাইরি,মানুশকে কি এতোই বোকা পাইছস,পেয়েছো,পেয়েছেন আপনারা,পেয়েছিস???",0,1,0,0,0,0
"আমাদের মতো তাদের যেমন অপমানবোধ আছে... ঠিক তেমনই আমাদের মতই, এদেরও খুশি আছে",0,0,0,0,0,0
"রানু মন্ডল একটা বেইমান তাকে সুযোক দেওয়া টাই ভুল হয়েছে  যেখানে ছিলো সেখানে আবার চলে যাবে , ওর গান কেউ সুনবে না ",0,0,0,0,0,1
ভাবলাম আরও ২/৩  রাউড দেই উপর নিচে... বুঝি ব্যাপারটা,0,0,0,0,0,0
যুগের সাথে তাল মিলিয়ে অনেক সুন্দর নাটক মাঝে মাঝে অনেক হাসি পেল নাটকইটি দেখে,0,0,0,0,0,0
"দূরে যাওয়া লাগবে না, আমার নিজের খালাই তো একটা পিওর ‘মাজেদা খালা’",0,0,0,0,0,0
এখন দেখি আর জামাইরা সেই রুপালী রঙের শিংমাছের মত শিং ওয়ালা নাগরা পরে না,0,0,0,0,0,0
এমডি শাহিন মজুমদার কিছু কর তাম না,0,0,0,1,0,0
...আজকে সমাজে ফলো করার মতো কয়জন আছে?,0,0,0,0,0,0
গতকাল সকাল থেকেই দুই মেয়ে ঘ্যান ঘ্যান করছিল “স্যান্টা ক্লজ দেখব...স্যান্টা ক্লজ দেখব”,0,0,0,0,0,0
সিনেমাটোগ্রাফি ক্যামেরা কম্পোজিশন সাউন্ডস সব কিছুই ভালো ছিলোকিপ ইট আপ নেক্সট নাটকে আরও ডেপথ্ ওয়ালা স্টোরি চাই,0,0,0,0,0,0
সুন্দর হয়েচে ঈদ মোবারক সবাই ভাল অভিনয় করেচেন অনেক সুন্দর হয়েচে,0,0,0,0,0,0
ফহিন্নি রে কেউ জুতা পিটা করে না ক্যারে???,0,0,0,1,0,1
"যাই হোক, এখন আগোরা যাব ঈদের বাজার করতে, বাসায় লেক্সাস একা কেমনে থাকবে?",0,0,0,0,0,0
পরে দেখা গেলো বললেন বাঙ্গির ব্যাবসা । আপনারা মিয়া লোক সুবিধের না ।,0,0,0,0,1,0
নামাযের ম্যাসেজ টা অসাধারণ হয়েছেতবে ভালবাসার কথাটা মনে চেপে না রাখাই ভাল,0,0,0,0,0,0
আমি ভাবছি সিদুরটা পূর্ণার মাথায় না পড়ে যদি আশেপাশে থাকা কোনো ছেলের মাথায় পড়ত তখন কি হত !,0,0,0,0,1,0
সত্যের বানী নিরবে কাদেঁ ত্র লোকের অপরাদ কি ছিল সে সত্য সংবাদ পকাশ করত তাইতো বাংলাদেশের পায় কোটি মানুষ জেনে গেল ত্র ফাসিঁক সরকারের সব কুকমের কথা,0,1,0,0,0,0
"আব্বে গাধার কষা পাদ, এই কথাটা বাংলায় লিখলে কি টিকটিকির লেঙ্গুরের মতো ময়নাপাখি খইসা যাইতো?",1,0,0,0,0,1
মঙ্গলবার (০২ জানুয়ারি) দুপুরে আদালতের হাজতখানার সামনে থেকে সুমিকে আটক করে কোতয়ালী থানা পুলিশের কাছে দিয়েছেন আইনজীবীরা।,0,0,0,0,0,0
রেন্ডিয়া কখনো বাংলাদেশের শান্তি চাই না।,0,1,0,0,0,0
এই নাটকে সবচেয়ে ভাল লেগেছে নামাজ পড়াটা,0,0,0,0,0,0
চোখের জল আটকে রাখতে পারলাম না অঝরেই ঝড়ে পড়লো বাস্তবতা বড়ই নিভুর,0,0,0,0,0,0
(চেলেঞ্জটা নিয়ে লেখলাম... কারণ আমার ভালো লেগেছে তাদের উদ্যোগটা,0,0,0,0,0,0
আমাদেরই স্বার্থে,0,0,0,0,0,0
বহুবছর ধরে নাটক দেখছি কিন্তু আমার দেখা সেরা নাটক এটা,0,0,0,0,0,0
"না আগালেও, এই ট্রু এফর্টগুলোকে অন্তত উৎসাহের অভাবে হারিয়ে যেতে না দেই প্লীজ",0,0,0,0,0,0
অনেক সুন্দর একটা নাটক আশা করি বাংলা সিনেমা হারিয়ে গেল বাংলা নাটক হারাবে না,0,0,0,0,0,0
একসময় আমাদের বাসার ২ টা ড্রাইভারের চাকরি পর্যন্ত গেছে এই উবারগিরি করার জন্য,0,0,0,0,0,0
নামাজের কথাটা শুনে ওনেক ভালো লাগলো,0,0,0,0,0,0
"দলীয় প্রতীকে নির্বাচনের কুফল; গৃহযুদ্ধ ছড়িয়ে পড়েছে গ্রামে ইউনিয়নে, দেশজুড়ে ",0,1,0,0,0,0
"এবং রাস্তা থেকে যদুমদুকদু ধরে তার নাম ঢুকিয়ে দেয়নি ডাটাবেইজে... তার বর্তমান ঠিকানা, অফিসের ঠিকানা,  ন্যাশনাল আইডিকার্ড নম্বর, ছবি, কাজের অভিজ্ঞতা সার্টিফিকেট, ট্রেনিং সার্টিফিকেট... সব ডাটা বেইজে আছে (যেন কোনও দুষ্টু আপনার বাসায় ফ্রিজ ঠিক করতে এসে স্ক্রু-ড্রাইভার রেখে ফ্রিজ নিয়ে পালিয়ে গেলেও তাকে ট্র্যাক করা যায়)",0,0,0,0,0,0
মালাউনের বাচ্চা কে জবাই করা উচিত,0,0,1,1,0,1
হুমুন্দির পুত মাঙের লগে লৌড়াই,1,0,0,0,0,0
অনেকদিন পর একটা ভালো রোমান্টিক নাটক দেখলাম খুব সুন্দর ন্যাকামি মার্কা অভিনয় এবং কাহিনি না অন্তত,0,0,0,0,0,0
খুব বেশি ইচ্ছে করতেছে তোকে জুতা দিয়ে পিটাইতে।,0,0,0,0,0,1
অসাধারণ জুটিদুজনের অভিনয়ে অনেক ভালো ছিল,0,0,0,0,0,0
সরকারের দৃষ্টি আকর্ষণ করে বলছি এই বিরল প্রজাতির প্রানীটি বিলুপ্ত হওয়ার আগেই চিড়িয়াখানায় রাখার ব্যবস্থা করা হোক,0,0,0,0,1,0
ইনিই হচ্ছেন ভারতের প্রতিরক্ষামন্ত্রী মনোহর পারিকর। এই কদিন আগেই যিনি ঘোষনা দেন বাংলাদেশ দখল করে মহাভারত গঠন করবেন আশ্চর্য তিনিই কিনা আমাদের বরেন্য রাষ্ট্রীয় অতিথি,0,1,0,0,1,0
নাস্তিকদের বর্তমানের অন্যতম পুঁজি কোরানের একটি আয়াতের অপব্যাখ্যার জবাব দিলেন প্রিয় ভাই মোহাম্মদ ইব্রাহিম।,0,0,1,0,0,0
তোমাকে জুতা মেরে মারা উচিত।,0,0,0,1,0,1
বায়তুল মোকাররমের সামনে ঘামতে ঘামতে হাঁটতে হাঁটতে হুট করে ঢুকে পড়লাম এরকম একটা দোকানে,0,0,0,0,0,0
খানকির তো ঘড় করা সম্ভব না,1,0,0,0,0,0
জাতির ইতিহাস অনুযায়ী চুদালে হবে,1,0,0,0,0,0
সালা ভিকরারি তোর বাবা ভারতের দিয়ে চালাচ্ছিস তোরা রে কাংলারা,0,1,0,0,0,0
খুনি ডালিম বাবুকে বাইরের কোথাও নিয়ে মার,0,0,0,1,0,0
কি বলবো আর দেখতে খুব অসাধারণআমি এটা অনেক বার দেখেছি অনেক ভালো লাগে,0,0,0,0,0,0
অনেক দিন পরে একটা নাটক খুবই ভাল লাগছে,0,0,0,0,0,0
প্রাংক ভিডিও করত রাস্তা ঘাটে। পুলিশ দেখতে দেখতে অভ্যস্ত।,0,0,0,0,0,0
“তুমি তো পাক্কা ব্যবসায়ীর মত কথা বলছ... আসলে পালা গরু? নাকি তুমি খুফিয়া ব্যাপারী?”,0,0,0,0,0,0
“কোন কবি বলেছেন?”,0,0,0,0,0,0
মাগার এইডা দেহার বাদ ছিল ।,0,0,0,0,1,0
এ হলো ফররাই মাদার ছোদ যতো অপরাধ করে মালাউনেরা নাম পড়ে পাকি আর বাংলাদেশের।,1,0,0,0,0,1
অসাধারণ নাটক নিশো ভাই সবসময় হিট,0,0,0,0,0,0
বাংলাদেশে অনেক রুচিশীল নাটোক টেলিফ্লিম আছে যেগুলো সবাই দেখে।এখন যুক্ত হইছে কিছু ভারতিও চ্যানেল যা বাংলার মেয়েদের মাথা খারাপ করেছে।,0,1,0,0,0,0
অসভ্য ছোট লোক মহিলা তোর আইডিতে আসতে হবে কোনদিন ভাবি নাই...তুই আবরার এর নামের বানান পারিস না আবার ওকে নিয়ে পোস্ট দেস....ওই পোস্ট টা পাবলিক কর,0,0,0,1,0,0
নিশু অভিনয় যেমন সুন্দর তেমনি দেখতেও সুন্দর বিষেস করে দাড়ি এবং চুল বর্তমানে দেশের ১ নাম্বার হিরো,0,0,0,0,0,0
"ঢাকায় আমার আম্মা একটা পেট্রোলিয়াম জেলি কিনছে, সেটার ফলে একটা ফ্রি ভেসলিন উত্তরবঙ্গের ডাক্তারদের কাছে আসছে... এবং তারা গ্রামে গঞ্জে ছড়িয়ে দিচ্ছে",0,0,0,0,0,0
অসাধারন সমাপ্তি সুন্দর গল্প ধন্যবাদ আরিয়ান ভাই আরো সুন্দর গল্পের নাটক চাই,0,0,0,0,0,0
রাতের অন্ধকারে প্যাথলজির লোকটা অন্য এক মহিলার স্যাম্পলের সাথে বেচারার স্যাম্পল চেইঞ্জ করে ফেলেছিল,0,0,0,0,0,0
পোস্টদাতা কর্মাসের স্টুডেন্ট বোধ হয় ঐটাও ব্যাকবেঞ্চার,0,0,0,0,1,0
নাটকটা ভালো লাগছে সেই সাথে নামাজের দাওয়াত সত্যিই অসাধারণ,0,0,0,0,0,0
টয়া কে বাজে লাগে তার কিছুই ভাল লাগেনা।,0,1,0,0,0,1
ওভার অ্যাক্টিং ভালো না আলম।,0,0,0,1,0,0
তর মায়ের ভুদাতে পোকা,1,0,0,0,0,1
‘তা ঠিক আছে... কিন্তু সাথে তোমার নিজেরও কিছু একটা কোরবানি দিতে হবে... যে কোন বদভ্যাসের কোরবানি দিতে হবে এই ঈদে... বলো কি কোরবানি দিবে?’,0,0,0,0,0,0
কিন্তু রুমে কেন এসেছিলাম আর মনে পরে না,0,0,0,0,0,0
“আমি জাহাঙ্গীর বলছি”,0,0,0,0,0,0
আমার কোম্পানির এক ড্রাইভার  চাকরি ছেড়ে দিয়ে কুয়েতে গেছে গাড়ি চালাতে,0,0,0,0,0,0
খুবই সুন্দর নাটক নিশোর অভিনয় খুবই ভালো লাগলো বিশেষ করে যখন সে নামাজ পড়ছিল তখন খুবই ভালো লাগলো,0,0,0,0,0,0
বিচার চাই........,0,0,0,1,0,0
তারপর ভুলেই গিয়েছিলাম এই পাপড়ি ইস্যু,0,0,0,0,0,0
মাগিরে কুত্তা দিয়ে চুদানো দরকার। বাইর হ বাংলাদেশ থেকে তুই,1,0,0,0,0,0
সালারে কেউ মাইরালা,0,0,0,1,0,0
বাস্তব ঘটনার প্রেক্ষিতে লেখা একটি নষ্ট মেয়ের গল্প,0,0,0,0,0,0
ইংল্যান্ড আর বাংলাদেশ দুইজন একটা ১ জনের জন্য রাজা করে আমি রেন্ডীয়াকে কবর দিব,0,0,0,1,0,0
এতো অল্প সময়ে কেন শেষ হলো এতো সুন্দর নাটক পৃথিবীর কোথাও কি হয়,0,0,0,0,0,0
রাহুল ভাই! আপনি যদি দেবাকরকে সবচেয়ে আগে কাফের এর সংজ্ঞা টা সঠিক ভাবে বোঝাতেন?তাহলে বিষয়টা আরও পরিষ্কার হতো সবার কাছে,0,0,1,0,0,0
পানিতে মমতার ভোদা বরেগেছ তাই বাংলাদেশর দিকে ছেড়ে দিল,1,0,0,0,0,1
মুনাফেক সারা টা জীবন জামাত শিবিরের গিবত করে গেছে,0,1,0,0,0,0
হাজারো শুরের মাঝে মসজিদের আজানটাই অনেক মধুর,0,0,0,0,0,0
সাফা জাহান কে অভিনয় জগৎ থেকে বহিষ্কার করাতে হোক,0,0,0,1,0,0
সালাৱ গোয়াদিয়া গৱম ডিম দিয়া পৱে ফাসি দেওয়া হোক,1,0,0,1,0,0
কিচ্ছু বলব না শুধু বলব জয়েন ফ্যামিলি ২ চাইশাহনাজ খুশি,0,0,0,0,0,0
যুবসমাজের কোন ধরণের ভ্যাকসিনের প্রয়োজন নেই শুধুমাত্র আপনার প্রতিদিন এভাবে ছবি পোষ্ট করলেই হবে এভাবে পোষ্ট করা ছবিগুলো দেখলেই যুবসমাজের শরীরে এ্যান্টিবডি তৈরী হবে ।,0,0,0,0,1,0
কি বলবো বুঝতেছিনা! যানি ওরা অসহায় তারপরেও এমন কাজ করা ঠিক না ওরা চাইলে কাজ করে খেতে পারে!,0,1,0,0,0,0
পাকিস্থান একমাসে বার ভারতকাশ্মীর নিয়ক্রন রেখায় সীজফেয়ার করেছে দেখুন কত বড় নোংরা হলে এই কাজ করতে পারে ভারত এখনো এই একমাসে একবারও সীজফেয়ার করেনি পাক নিয়ক্ররেখায় ভারত গতমাসে মাত্র একঘন্টা গুলিবর্ষণ করেছিল পাকভারত নিয়ক্ররেখায় পাকরেঞ্জার ছাউনিতে তাতেই সাতটা পাকআর্মি টা হুপরির দর্শণ করতে চলে গেছে মাত্র একঘন্টায় ভারতের গুলিবর্ষণে বঝুন তালে আর যদি লাগাতার দশঘন্টা ধরে ভারত গুলিবর্ষণ করে কি হবে বুঝতে পারছেন পাকছাউনি পাকছাউনি ধুলোর মতো উরে যাবে এবং,0,1,0,0,0,0
বাংলার জনগন ভারতের পাশ্বে কখনেই থাকবে না।থাকবে আওয়ামী লীগ।আওয়ামী লীগ মনে করে বাংলাদেশটা আওয়ামী লীগ এর পৈতৃিক সম্পওি।এটা তাদের ভূল ধারনা।বাংলাদেশর মালিক কোটি জনগন।খমতায় থাকার জন্য ভারতের দালালী করছে আওয়ামী লীগ।আমরা যুদ্ব করে দেশ স্বাধীন করেছি ভারতের গোলামী করার জন্য নয়।আওয়ামী লীগ বাংলার নব্য রাজাকার।রুখে দাড়ান এই নব্য রাজাকারদের বিরুদ্বে।,0,1,0,0,0,0
অনেক অনেক সুন্দর নাটক৷নিশো ভাইয়ের জবাব নাইসেই,0,0,0,0,0,0
"প্রেম করবে গোপনে আর কষ্ট প্রকাশ করবে সবার সামনে সুটিয়ে লাল করে দেবো, নোংরামি বার করে দেবো ",0,1,0,0,1,0
এগুলো বিএনপির বিরুদ্ধে মাহির চক্রান্ত,0,1,0,0,0,0
শুধুই ঘুম তারমানে মিথিলা তলে তলে অন্য কোথাও টেম্পু চালায়।,1,0,0,0,0,1
একবার ভাঙ্গেন... তারপর পিছে তাকিয়ে দেখবেন আপনাকে ফলো করার মানুষের অভাব হবে না,0,0,0,0,0,0
খুব সুন্দর শিক্ষনীয় একটা নাটক অনেক কিছু শিখতে পারলাম নাটকটা দেখে কোনটা সঠিক কোনটা ভুল আর নিশো ভাই এর সুন্দর অভিনয়ে নাটকটা ফুটে উঠসে,0,0,0,0,0,0
এ টেষ্ট হারলে ভারতীয়রা কুকের নুনুর ও পুজা করা শুরু করবে বলে মনে হচ্ছে।,1,0,0,0,0,1
তোর হোগার বাল ছিড়ে রাউটারে চারিদিকে কস্টেপ দিয়ে আটকিয়ে দেম,1,0,0,0,1,0
নামাজ কে সুন্দর ভাবে বাংলা নাটকে উপস্থাপন করার জন্য ধন্যবাদ,0,0,0,0,0,0
ছাগল দিয়ে হালচাষ,0,0,0,0,1,0
"সে নির্লিপ্ত ভঙ্গিতে বলল, ‘ফর্মালিন দেই নাই তাই মাছি উড়তাসে... কিনলে কিনেন... না কিনলে হাঁটেন...পরের কাস্টমার আইতে দেন’",0,0,0,0,0,0
খালেদা জিয়া মুসলিমের বন্দু আল্লাহ আপনাকে হেফাজত করক। বরতমান প্রদান মন্তি নাকি মুসলিম এখন ও একটি পটিবাট করিনি,0,1,0,0,0,0
মমতাজ এর তেল মাখানোর অভ্যাস খুব ভালোই আছে,0,0,0,0,0,1
বাঞ্চুদ,1,0,0,0,0,0
বাংলাদেেশর সরকার অন্ধ আর ভারত সরকার কানা,0,0,0,0,1,0
আমি অত্যন্ত দুঃখের সাথে জানাচ্ছি যে ঐ সময় আমি তোমার জন্য কিছুই করতে পারিনি । আমি বাসায় ঘুমানো ছিলাম । জেগে থাকলে যদি শুনতাম যে তুমি চিৎকার করে বলছো ছেড়ে দে শয়তান ছেড়ে দে আমি দৌড়ে উড়ে যেতাম তারপর টিগিস টিগিস ডিশুম ডিশুম করে ওদের থেকে ছিনিয়ে নিতাম । এরপর দু জনে এক হতাম আর বাংলা সিনেমার মত শুরু হতো লা লা লা ওহো আহা হা ।,0,0,0,0,1,0
"খালেদা জিয়াকে জেলে আটকে রাখবেন, আর আপনি নির্বাচন করবেন, এই নির্বাচন হবে না, মানুষ মেনে নেবে না । ",0,0,0,1,0,0
" তোর এই ফটো বুরেল দা'কে মেইল করেছিলাম। সে রিপ্লাই দিয়েছে, ওরে বল 'সুদেই মেরে ফেলবো'। ভালো হয়ে যাও বাড়া",1,0,0,0,0,1
মাগির বাচ্ছা অহ মাগীর বাচ্ছা বলার কারন তোর জন্ম হয়েছে কোন মাগীর মাধ্যমেই। কারন তুই তো জন্মের আগে এবং পরে দেখিস নাই যে তোর বাবা কে। তোর মা যে ব্যাটারে অহ না যে খদ্দের কে দেখিয়ে বলেছে দেখ মা ওই লোক টা তোর বাবা তুই তাকেই বাবা বলে ডেকেছিস।তাই তুই একটা পতিতার মেয়ে বল্লেও তোকে কম বলা হবে। তোর বাবা কে তোর মার সাথে করে তোকে কে জন্ম দিছে তুই তো তা দেখিস নাই রে মাগীর বাচ্ছা । আর তুই ও তো তেমনি কথায় আছে না কাঠালের বিচি সব একরকমই হয়। তুই তো সেইম বিচিওলা র্মাকা মারা পতিতা মাগি। অহ তুই তো আবার বিচিওলা পতিতা। তোর কাছে তো খদ্দের ও যাবেনা ওয়াক থু আয়নায় চেহারা টা দেখেছিস মানুষের মতো দেখায় না তোকে। তোকে দেখতে এলিয়েনর মত লাগে। এই দেখ এমন দেখতে তুই আর মাগীরপুরি তোর ওই পাপী মূখে আল্লাহর নাম নিবি না।পুটকিদিয়া জনগন বাশ ঢুকাইছে তাই এখন আল্লাহর নাম নিচ্ছিস জুতা দিয়া মারা দরকার তোকে,1,0,1,1,0,1
শ্রাবন্তী অমিত শাহর কাছে না গিয়ে আমার কাছে আসলেই চলতো বাকিরা জাহান্নামে যাক,0,0,0,0,1,0
একটা বিয়ের দাওয়াত ছিল,0,0,0,0,0,0
অসম্ভব সুন্দর ছিলো এই নাটক টাধন্যবাদ আরিয়ান ভাই,0,0,0,0,0,0
আমার মনে হয় হিরো আলম কে একটা চবি বানানো দরকার কারণ হিরো আলমের জুতা মোচার জন্য জাহিদ ভাইকে দরকার,0,0,0,1,1,1
শুয়োরের বাচ্চা যখন ৬ টাকার নামে ৮ টাকা চায়,1,0,0,0,0,0
